winery name|wine|price|type|vintage|varietal
Villa Creek Cellars |AVENGER|$35.00|red|2007|Rhone
|DAMAS NOIR|$40.00|red|2007|Mouvedre
Villa San-Juliette Winery|Sauvignon Blanc|$12.00|white|2008|Sauvignon Blanc
|Cabernet Sauvignon|$15.00|red|2008|Cabernet Sauvignon
|Petite Sirah|$15.00|red|2008|Syrah
Villicana Winery|CABERNET SAUVIGNON|$28.00|red|2006|Cabernet Sauvignon
|SYRAH|$30.00|red|2008|Syrah
| VIN ROSÉ|$18.00|rose|2009|Syrah
Vina Robles| Zinfandel|$26.00|red|2007| Zinfandel
|Cabernet Sauvignon - Huerhuero|$22.00|red|2007|Cabernet Sauvignon
|Chardonnay - Monterey|$19.00|white|2009|Chardonnay
Vines on the Marycrest |Zinfandel|$32.00|red|2007|Zinfandel
|Syrah|$32.00|red|2007|Syrah
|Heart of Glass |$25.00|red|2007|Rhone
Vista Del Rey Vineyards|Barbera Dessert Wine|$25.00|dessert|2007|Barbera
|Zinfandel, Estate|$27.00|red|2006|Zinfandel
|Barbera|$22.00|red|2007|Barbera
Whalebone Winery|Cabernet Sauvignon 
|$35.00|red|2006|Cabernet Sauvignon 
|Syrah |$30.00|red|2006|Syrah 
|Zinfandel |$30.00|red|2007|Zinfandel 
Wild Coyote Estate Winery|Syrah |$30.00|red|2008|Syrah 
|Zinfandel Port |$45.00|dessert|2007|Zinfandel 
|Merlot |$25.00|red|2007|Merlot 
Wild Horse Winery & Vineyards| Merlot |$17.00|red|2007| Merlot 
|Unbridled Cabernet Sauvignon|$36.00|red|2007|Cabernet Sauvignon
|Negrette|$26.00|red|2008|Negrette
Windward Vineyard|"Monopole" Pinot Noir |$38.00|red|2007|Pinot Noir
| Gold "Barrel Select" Pinot Noir |$62.00|red|2008|Pinot Noir
Zenaida Cellars|Zinfandel|$22.00|red|2007|Zinfandel 
|Syrah "Hell Block" |$27.00|red|2006|Syrah 
|Petite Sirah |$32.00|red|2007|Syrah
Zoller Wine Styling|Cabernet, Paso Robles|$20.00|red|2007|Cabernet Sauvignon 
|Malbec, Paso Robles|$25.00|red|2007|Malbec
|Gr8ass Marsanne|$16.00|white|2008|Marsanne
A. Rafanelli Winery|ZINFANDEL|-|red|2008|Zinfandel
